timestamp,seed,Player 1,Player 2,Player 3,Player 4,winner_model,Player 1 bluffs,Player 1 bluffs_caught,Player 2 bluffs,Player 2 bluffs_caught,Player 3 bluffs,Player 3 bluffs_caught,Player 4 bluffs,Player 4 bluffs_caught,Player 5 bluffs,Player 5 bluffs_caught,Player 6 bluffs,Player 6 bluffs_caught,Player 1 challenges_issued,Player 1 challenges_correct,Player 2 challenges_issued,Player 2 challenges_correct,Player 3 challenges_issued,Player 3 challenges_correct,Player 4 challenges_issued,Player 4 challenges_correct,Player 5 challenges_issued,Player 5 challenges_correct,Player 6 challenges_issued,Player 6 challenges_correct,Player 1 card_guesses_total,Player 1 card_guesses_correct,Player 2 card_guesses_total,Player 2 card_guesses_correct,Player 3 card_guesses_total,Player 3 card_guesses_correct,Player 4 card_guesses_total,Player 4 card_guesses_correct,Player 5 card_guesses_total,Player 5 card_guesses_correct,Player 6 card_guesses_total,Player 6 card_guesses_correct,Player 1 cards_guessed,Player 1 cards_guessed_correct,Player 2 cards_guessed,Player 2 cards_guessed_correct,Player 3 cards_guessed,Player 3 cards_guessed_correct,Player 4 cards_guessed,Player 4 cards_guessed_correct,Player 5 cards_guessed,Player 5 cards_guessed_correct,Player 6 cards_guessed,Player 6 cards_guessed_correct
,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-16 22:18:20,2625633111,"anthropic/claude-opus-4.6-fast, depth=10, rules=No, strategy=No","openai/gpt-4o, depth=10, rules=Yes, strategy=No","x-ai/grok-4.3, depth=10, rules=No, strategy=Yes","google/gemini-2.0-flash-001, depth=10, rules=Yes, strategy=Yes",x-ai/grok-4.3,0,0,0,0,0,0,1,1,,,,,2,0,1,0,1,1,1,0,,,,,0,0,5,2,3,2,3,2,,,,,,,,,,,,,,,,
2026-05-16 22:20:39,2485707010,"anthropic/claude-opus-4.6-fast, depth=10, rules=Yes, strategy=No","openai/gpt-4o, depth=10, rules=No, strategy=Yes","x-ai/grok-4.3, depth=10, rules=Yes, strategy=Yes","google/gemini-2.0-flash-001, depth=10, rules=No, strategy=No",anthropic/claude-opus-4.6-fast,3,0,1,1,0,0,0,0,,,,,2,1,1,0,1,0,2,0,,,,,6,3,6,4,4,3,0,0,,,,,,,,,,,,,,,,
2026-05-16 22:26:30,2788506561,"anthropic/claude-opus-4.6-fast, depth=10, rules=No, strategy=Yes","openai/gpt-4o, depth=10, rules=Yes, strategy=Yes","x-ai/grok-4.3, depth=10, rules=No, strategy=No","google/gemini-2.0-flash-001, depth=10, rules=Yes, strategy=No",x-ai/grok-4.3,2,0,3,2,7,0,0,0,,,,,2,0,0,0,2,2,2,0,,,,,0,0,8,2,11,6,0,0,,,,,,,,,,,,,,,,
2026-05-16 22:29:00,3260290596,"anthropic/claude-opus-4.6-fast, depth=10, rules=Yes, strategy=Yes","openai/gpt-4o, depth=10, rules=No, strategy=No","x-ai/grok-4.3, depth=10, rules=Yes, strategy=No","google/gemini-2.0-flash-001, depth=10, rules=No, strategy=Yes",x-ai/grok-4.3,2,0,0,0,1,0,0,0,,,,,1,0,1,0,0,0,2,0,,,,,5,1,4,3,4,3,0,0,,,,,,,,,,,,,,,,
2026-05-16 22:31:06,1223849503,"openai/gpt-4o, depth=10, rules=No, strategy=No","x-ai/grok-4.3, depth=10, rules=Yes, strategy=No","google/gemini-2.0-flash-001, depth=10, rules=No, strategy=Yes","anthropic/claude-opus-4.6-fast, depth=10, rules=Yes, strategy=Yes",x-ai/grok-4.3,0,0,0,0,2,2,1,1,,,,,4,2,0,0,0,0,2,1,,,,,0,0,1,1,0,0,2,1,,,,,,,,,,,,,,,,
2026-05-16 22:33:59,354939876,"openai/gpt-4o, depth=10, rules=Yes, strategy=No","x-ai/grok-4.3, depth=10, rules=No, strategy=Yes","google/gemini-2.0-flash-001, depth=10, rules=Yes, strategy=Yes","anthropic/claude-opus-4.6-fast, depth=10, rules=No, strategy=No",anthropic/claude-opus-4.6-fast,0,0,2,1,1,1,1,0,,,,,0,0,2,1,1,0,1,1,,,,,6,4,4,1,0,0,5,3,,,,,,,,,,,,,,,,
2026-05-16 22:35:29,783810668,"openai/gpt-4o, depth=10, rules=No, strategy=Yes","x-ai/grok-4.3, depth=10, rules=Yes, strategy=Yes","google/gemini-2.0-flash-001, depth=10, rules=No, strategy=No","anthropic/claude-opus-4.6-fast, depth=10, rules=Yes, strategy=No",x-ai/grok-4.3,2,0,0,0,0,0,0,0,,,,,1,0,0,0,2,0,1,0,,,,,3,1,3,1,0,0,4,1,,,,,,,,,,,,,,,,
2026-05-16 22:37:48,192992941,"openai/gpt-4o, depth=10, rules=Yes, strategy=Yes","x-ai/grok-4.3, depth=10, rules=No, strategy=No","google/gemini-2.0-flash-001, depth=10, rules=Yes, strategy=No","anthropic/claude-opus-4.6-fast, depth=10, rules=No, strategy=Yes",x-ai/grok-4.3,1,0,1,0,0,0,4,1,,,,,0,0,1,1,2,0,0,0,,,,,4,0,4,0,0,0,5,2,,,,,,,,,,,,,,,,
2026-05-16 22:47:01,965460643,"x-ai/grok-4.3, depth=10, rules=No, strategy=No","google/gemini-2.0-flash-001, depth=10, rules=Yes, strategy=No","anthropic/claude-opus-4.6-fast, depth=10, rules=No, strategy=Yes","openai/gpt-4o, depth=10, rules=Yes, strategy=Yes",openai/gpt-4o,17,2,0,0,1,0,14,0,,,,,0,0,2,0,3,1,2,1,,,,,13,2,0,0,3,0,11,3,,,,,,,,,,,,,,,,
2026-05-16 22:49:59,1994060811,"x-ai/grok-4.3, depth=10, rules=Yes, strategy=No","google/gemini-2.0-flash-001, depth=10, rules=No, strategy=Yes","anthropic/claude-opus-4.6-fast, depth=10, rules=Yes, strategy=Yes","openai/gpt-4o, depth=10, rules=No, strategy=No",anthropic/claude-opus-4.6-fast,0,0,1,0,3,0,1,1,,,,,1,1,2,0,0,0,1,0,,,,,5,3,0,0,4,3,4,2,,,,,,,,,,,,,,,,
2026-05-16 22:52:45,1837016955,"x-ai/grok-4.3, depth=10, rules=No, strategy=Yes","google/gemini-2.0-flash-001, depth=10, rules=Yes, strategy=Yes","anthropic/claude-opus-4.6-fast, depth=10, rules=No, strategy=No","openai/gpt-4o, depth=10, rules=Yes, strategy=No",x-ai/grok-4.3,0,0,1,1,0,0,0,0,,,,,0,0,1,0,1,1,0,0,,,,,8,4,0,0,7,3,10,6,,,,,,,,,,,,,,,,
2026-05-16 22:54:23,1523901483,"x-ai/grok-4.3, depth=10, rules=Yes, strategy=Yes","google/gemini-2.0-flash-001, depth=10, rules=No, strategy=No","anthropic/claude-opus-4.6-fast, depth=10, rules=Yes, strategy=No","openai/gpt-4o, depth=10, rules=No, strategy=Yes",openai/gpt-4o,1,1,0,0,2,0,0,0,,,,,0,0,3,1,1,0,0,0,,,,,0,0,4,3,4,0,4,1,,,,,,,,,,,,,,,,
2026-05-16 22:57:03,2064593633,"google/gemini-2.0-flash-001, depth=10, rules=No, strategy=No","anthropic/claude-opus-4.6-fast, depth=10, rules=Yes, strategy=No","openai/gpt-4o, depth=10, rules=No, strategy=Yes","x-ai/grok-4.3, depth=10, rules=Yes, strategy=Yes",x-ai/grok-4.3,1,0,1,0,4,0,3,1,,,,,2,0,2,1,1,0,0,0,,,,,0,0,4,3,6,1,6,2,,,,,,,,,,,,,,,,
2026-05-16 22:59:50,3419729322,"google/gemini-2.0-flash-001, depth=10, rules=Yes, strategy=No","anthropic/claude-opus-4.6-fast, depth=10, rules=No, strategy=Yes","openai/gpt-4o, depth=10, rules=Yes, strategy=Yes","x-ai/grok-4.3, depth=10, rules=No, strategy=No",anthropic/claude-opus-4.6-fast,0,0,1,0,0,0,0,0,,,,,2,0,0,0,0,0,0,0,,,,,0,0,6,5,7,5,7,4,,,,,,,,,,,,,,,,
2026-05-16 23:02:29,2176736909,"google/gemini-2.0-flash-001, depth=10, rules=No, strategy=Yes","anthropic/claude-opus-4.6-fast, depth=10, rules=Yes, strategy=Yes","openai/gpt-4o, depth=10, rules=No, strategy=No","x-ai/grok-4.3, depth=10, rules=Yes, strategy=No",openai/gpt-4o,0,0,2,2,0,0,1,1,,,,,4,2,0,0,1,1,0,0,,,,,4,2,0,0,6,3,5,2,,,,,,,,,,,,,,,,
2026-05-16 23:04:18,94642831,"google/gemini-2.0-flash-001, depth=10, rules=Yes, strategy=Yes","anthropic/claude-opus-4.6-fast, depth=10, rules=No, strategy=No","openai/gpt-4o, depth=10, rules=Yes, strategy=No","x-ai/grok-4.3, depth=10, rules=No, strategy=Yes",anthropic/claude-opus-4.6-fast,1,0,1,0,0,0,1,1,,,,,3,1,0,0,1,0,0,0,,,,,5,3,6,3,6,3,5,3,,,,,,,,,,,,,,,,
2026-05-16 23:05:55,3419729322,"anthropic/claude-opus-4.6-fast, depth=10, rules=No, strategy=No","openai/gpt-4o, depth=10, rules=Yes, strategy=No","x-ai/grok-4.3, depth=10, rules=No, strategy=Yes","google/gemini-2.0-flash-001, depth=10, rules=Yes, strategy=Yes",openai/gpt-4o,1,1,2,0,1,1,0,0,,,,,0,0,1,1,1,0,3,1,,,,,4,2,3,2,3,1,0,0,,,,,,,,,,,,,,,,
2026-05-16 23:09:04,1523901483,"anthropic/claude-opus-4.6-fast, depth=10, rules=Yes, strategy=No","openai/gpt-4o, depth=10, rules=No, strategy=Yes","x-ai/grok-4.3, depth=10, rules=Yes, strategy=Yes","google/gemini-2.0-flash-001, depth=10, rules=No, strategy=No",google/gemini-2.0-flash-001,1,0,1,1,0,0,1,0,,,,,0,0,1,0,1,0,1,1,,,,,4,2,0,0,8,4,9,5,,,,,,,,,,,,,,,,
2026-05-16 23:11:44,3260290596,"anthropic/claude-opus-4.6-fast, depth=10, rules=No, strategy=Yes","openai/gpt-4o, depth=10, rules=Yes, strategy=Yes","x-ai/grok-4.3, depth=10, rules=No, strategy=No","google/gemini-2.0-flash-001, depth=10, rules=Yes, strategy=No",openai/gpt-4o,1,1,0,0,0,0,0,0,,,,,1,0,0,0,0,0,2,1,,,,,0,0,5,3,7,6,4,2,,,,,,,,,,,,,,,,
2026-05-16 23:13:21,2064593633,"anthropic/claude-opus-4.6-fast, depth=10, rules=Yes, strategy=Yes","openai/gpt-4o, depth=10, rules=No, strategy=No","x-ai/grok-4.3, depth=10, rules=Yes, strategy=No","google/gemini-2.0-flash-001, depth=10, rules=No, strategy=Yes",anthropic/claude-opus-4.6-fast,0,0,0,0,0,0,2,0,,,,,0,0,2,0,0,0,2,0,,,,,4,2,0,0,4,2,4,1,,,,,,,,,,,,,,,,
2026-05-16 23:18:07,1994060811,"openai/gpt-4o, depth=10, rules=No, strategy=No","x-ai/grok-4.3, depth=10, rules=Yes, strategy=No","google/gemini-2.0-flash-001, depth=10, rules=No, strategy=Yes","anthropic/claude-opus-4.6-fast, depth=10, rules=Yes, strategy=Yes",anthropic/claude-opus-4.6-fast,2,1,0,0,0,0,2,1,,,,,0,0,1,1,2,0,1,1,,,,,4,4,6,6,0,0,8,7,,,,,,,,,,,,,,,,
2026-05-16 23:20:25,192992941,"openai/gpt-4o, depth=10, rules=Yes, strategy=No","x-ai/grok-4.3, depth=10, rules=No, strategy=Yes","google/gemini-2.0-flash-001, depth=10, rules=Yes, strategy=Yes","anthropic/claude-opus-4.6-fast, depth=10, rules=No, strategy=No",openai/gpt-4o,1,0,0,0,1,0,1,1,,,,,1,0,1,0,3,1,0,0,,,,,4,1,5,0,0,0,4,0,,,,,,,,,,,,,,,,
2026-05-16 23:23:03,94642831,"openai/gpt-4o, depth=10, rules=No, strategy=Yes","x-ai/grok-4.3, depth=10, rules=Yes, strategy=Yes","google/gemini-2.0-flash-001, depth=10, rules=No, strategy=No","anthropic/claude-opus-4.6-fast, depth=10, rules=Yes, strategy=No",anthropic/claude-opus-4.6-fast,2,1,0,0,0,0,3,0,,,,,0,0,1,0,3,1,0,0,,,,,4,3,5,1,0,0,4,4,,,,,,,,,,,,,,,,
2026-05-16 23:26:36,1837016955,"openai/gpt-4o, depth=10, rules=Yes, strategy=Yes","x-ai/grok-4.3, depth=10, rules=No, strategy=No","google/gemini-2.0-flash-001, depth=10, rules=Yes, strategy=No","anthropic/claude-opus-4.6-fast, depth=10, rules=No, strategy=Yes",x-ai/grok-4.3,3,0,0,0,0,0,3,2,,,,,0,0,1,1,2,1,0,0,,,,,7,4,6,1,5,1,5,3,,,,,,,,,,,,,,,,
2026-05-16 23:36:59,354939876,"x-ai/grok-4.3, depth=10, rules=No, strategy=No","google/gemini-2.0-flash-001, depth=10, rules=Yes, strategy=No","anthropic/claude-opus-4.6-fast, depth=10, rules=No, strategy=Yes","openai/gpt-4o, depth=10, rules=Yes, strategy=Yes",openai/gpt-4o,11,0,2,1,3,2,1,0,,,,,2,1,3,2,0,0,0,0,,,,,18,16,4,2,0,0,16,4,,,,,,,,,,,,,,,,
2026-05-16 23:39:46,2485707010,"x-ai/grok-4.3, depth=10, rules=Yes, strategy=No","google/gemini-2.0-flash-001, depth=10, rules=No, strategy=Yes","anthropic/claude-opus-4.6-fast, depth=10, rules=Yes, strategy=Yes","openai/gpt-4o, depth=10, rules=No, strategy=No",x-ai/grok-4.3,0,0,4,0,2,2,0,0,,,,,1,1,3,1,0,0,1,0,,,,,3,0,4,1,4,2,4,1,,,,,,,,,,,,,,,,
2026-05-16 23:41:45,783810668,"x-ai/grok-4.3, depth=10, rules=No, strategy=Yes","google/gemini-2.0-flash-001, depth=10, rules=Yes, strategy=Yes","anthropic/claude-opus-4.6-fast, depth=10, rules=No, strategy=No","openai/gpt-4o, depth=10, rules=Yes, strategy=No",openai/gpt-4o,3,2,0,0,1,1,0,0,,,,,0,0,4,3,0,0,0,0,,,,,5,4,6,3,5,3,6,4,,,,,,,,,,,,,,,,
2026-05-16 23:43:14,965460643,"x-ai/grok-4.3, depth=10, rules=Yes, strategy=Yes","google/gemini-2.0-flash-001, depth=10, rules=No, strategy=No","anthropic/claude-opus-4.6-fast, depth=10, rules=Yes, strategy=No","openai/gpt-4o, depth=10, rules=No, strategy=Yes",anthropic/claude-opus-4.6-fast,1,1,0,0,2,0,2,1,,,,,0,0,3,2,1,0,1,0,,,,,0,0,3,0,2,0,0,0,,,,,,,,,,,,,,,,
2026-05-16 23:44:41,2788506561,"google/gemini-2.0-flash-001, depth=10, rules=No, strategy=No","anthropic/claude-opus-4.6-fast, depth=10, rules=Yes, strategy=No","openai/gpt-4o, depth=10, rules=No, strategy=Yes","x-ai/grok-4.3, depth=10, rules=Yes, strategy=Yes",x-ai/grok-4.3,0,0,1,1,2,0,0,0,,,,,3,1,1,0,1,0,0,0,,,,,4,1,0,0,3,1,3,1,,,,,,,,,,,,,,,,
2026-05-16 23:46:14,2176736909,"google/gemini-2.0-flash-001, depth=10, rules=Yes, strategy=No","anthropic/claude-opus-4.6-fast, depth=10, rules=No, strategy=Yes","openai/gpt-4o, depth=10, rules=Yes, strategy=Yes","x-ai/grok-4.3, depth=10, rules=No, strategy=No",anthropic/claude-opus-4.6-fast,0,0,2,1,1,1,1,1,,,,,5,3,0,0,1,0,1,0,,,,,3,1,3,0,0,0,4,1,,,,,,,,,,,,,,,,
