Game #,Seed,Survey Interval,Player 1 Model,Player 1 History,Player 1 Rules,Player 1 Strategy,Player 2 Model,Player 2 History,Player 2 Rules,Player 2 Strategy,Player 3 Model,Player 3 History,Player 3 Rules,Player 3 Strategy,Player 4 Model,Player 4 History,Player 4 Rules,Player 4 Strategy,Player 5 Model,Player 5 History,Player 5 Rules,Player 5 Strategy,Player 6 Model,Player 6 History,Player 6 Rules,Player 6 Strategy
1,2625633111,2,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,,,,,,,,
2,2485707010,2,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,,,,,,,,
3,2788506561,2,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,,,,,,,,
4,3260290596,2,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,,,,,,,,
5,1223849503,2,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,,,,,,,,
6,354939876,2,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,,,,,,,,
7,783810668,2,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,,,,,,,,
8,192992941,2,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,,,,,,,,
9,965460643,2,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,,,,,,,,
10,1994060811,2,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,,,,,,,,
11,1837016955,2,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,,,,,,,,
12,1523901483,2,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,,,,,,,,
13,2064593633,2,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,,,,,,,,
14,3419729322,2,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,,,,,,,,
15,2176736909,2,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,,,,,,,,
16,94642831,2,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,,,,,,,,
17,3419729322,2,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,,,,,,,,
18,1523901483,2,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,,,,,,,,
19,3260290596,2,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,,,,,,,,
20,2064593633,2,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,,,,,,,,
21,1994060811,2,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,,,,,,,,
22,192992941,2,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,,,,,,,,
23,94642831,2,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,,,,,,,,
24,1837016955,2,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,,,,,,,,
25,354939876,2,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,,,,,,,,
26,2485707010,2,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,,,,,,,,
27,783810668,2,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,,,,,,,,
28,965460643,2,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,,,,,,,,
29,2788506561,2,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,,,,,,,,
30,2176736909,2,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,,,,,,,,
31,1223849503,2,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,,,,,,,,
32,2625633111,2,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,,,,,,,,
33,192992941,2,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,,,,,,,,
34,3419729322,2,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,,,,,,,,
35,1994060811,2,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,,,,,,,,
36,2485707010,2,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,,,,,,,,
37,1837016955,2,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,,,,,,,,
38,1523901483,2,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,,,,,,,,
39,1223849503,2,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,,,,,,,,
40,354939876,2,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,,,,,,,,
41,2788506561,2,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,,,,,,,,
42,2176736909,2,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,,,,,,,,
43,2625633111,2,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,,,,,,,,
44,783810668,2,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,,,,,,,,
45,965460643,2,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,,,,,,,,
46,94642831,2,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,,,,,,,,
47,2064593633,2,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,,,,,,,,
48,3260290596,2,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,,,,,,,,
49,2788506561,2,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,,,,,,,,
50,783810668,2,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,,,,,,,,
51,1223849503,2,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,,,,,,,,
52,3260290596,2,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,,,,,,,,
53,94642831,2,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,,,,,,,,
54,2176736909,2,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,,,,,,,,
55,965460643,2,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,,,,,,,,
56,2064593633,2,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,,,,,,,,
57,1994060811,2,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,,,,,,,,
58,2625633111,2,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,,,,,,,,
59,354939876,2,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,,,,,,,,
60,192992941,2,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,,,,,,,,
61,1837016955,2,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,,,,,,,,
62,1523901483,2,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,,,,,,,,
63,3419729322,2,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,,,,,,,,
64,2485707010,2,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,,,,,,,,
65,3260290596,2,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,,,,,,,,
66,3419729322,2,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,,,,,,,,
67,1523901483,2,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,,,,,,,,
68,2625633111,2,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,,,,,,,,
69,2176736909,2,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,,,,,,,,
70,2064593633,2,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,,,,,,,,
71,2788506561,2,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,,,,,,,,
72,2485707010,2,ChatGPT,10,1,0,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,,,,,,,,
73,1223849503,2,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,,,,,,,,
74,354939876,2,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,,,,,,,,
75,192992941,2,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,,,,,,,,
76,783810668,2,Grok,10,1,0,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,,,,,,,,
77,1994060811,2,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,,,,,,,,
78,1837016955,2,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,,,,,,,,
79,965460643,2,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,,,,,,,,
80,94642831,2,Gemini,10,1,0,Claude,10,1,0,ChatGPT,10,1,0,Grok,10,1,0,,,,,,,,
