model,history_depth,rules,strategy,games_played,games_won,win_rate,elo,total_tokens,cached_tokens,total_queries,avg_tokens_per_query,bluffs,bluffs_caught,bluff_success_rate,challenges_issued,challenges_correct,challenge_success_rate,card_guesses_total,card_guesses_correct,card_guess_accuracy
anthropic/claude-opus-4.6-fast,10,No,No,48,13,0.2708,1504.6,791496,0,752,1052.5,59,17,0.7119,54,16,0.2963,220,113,0.5136
anthropic/claude-opus-4.6-fast,10,No,Yes,46,14,0.3043,1533.3,1322352,0,724,1826.5,103,30,0.7087,35,12,0.3429,213,125,0.5869
anthropic/claude-opus-4.6-fast,10,Yes,No,50,17,0.3400,1570.7,722059,0,711,1015.6,64,18,0.7188,36,12,0.3333,179,86,0.4804
anthropic/claude-opus-4.6-fast,10,Yes,Yes,47,11,0.2340,1539.5,996524,0,621,1604.7,89,44,0.5056,20,10,0.5000,155,64,0.4129
anthropic/claude-opus-4.6-fast,20,No,Yes,2,0,0.0000,1489.4,14758,0,13,1135.2,0,0,0.0000,0,0,0.0000,0,0,0.0000
anthropic/claude-opus-4.6-fast,2,No,No,1,0,0.0000,1494.6,13112,0,20,655.6,0,0,0.0000,1,0,0.0000,0,0,0.0000
google/gemini-2.0-flash-001,0,No,No,16,10,0.6250,1540.0,25240,0,131,192.7,0,0,0.0000,21,8,0.3810,0,0,0.0000
google/gemini-2.0-flash-001,10,No,No,91,10,0.1099,1445.8,333942,0,714,467.7,5,1,0.8000,219,74,0.3379,135,33,0.2444
google/gemini-2.0-flash-001,10,No,Yes,91,6,0.0659,1469.8,743896,51628,683,1089.2,46,17,0.6304,152,33,0.2171,129,41,0.3178
google/gemini-2.0-flash-001,10,Yes,No,95,7,0.0737,1431.7,532452,7874,791,673.1,14,4,0.7143,226,68,0.3009,176,64,0.3636
google/gemini-2.0-flash-001,10,Yes,Yes,93,11,0.1183,1450.6,984942,211875,730,1349.2,35,11,0.6857,206,65,0.3155,140,54,0.3857
google/gemini-2.0-flash-001,2,No,No,2,0,0.0000,1489.6,5265,0,13,405.0,0,0,0.0000,3,0,0.0000,0,0,0.0000
google/gemini-2.0-flash-001,2,No,Yes,1,1,1.0000,1516.0,8699,2117,8,1087.4,0,0,0.0000,1,1,1.0000,3,2,0.6667
google/gemini-2.0-flash-001,2,Yes,No,1,0,0.0000,1494.7,7898,0,9,877.6,0,0,0.0000,4,2,0.5000,3,1,0.3333
google/gemini-2.0-flash-001,2,Yes,Yes,1,0,0.0000,1494.7,10223,8857,7,1460.4,0,0,0.0000,0,0,0.0000,2,1,0.5000
google/gemini-2.0-flash-001,5,Yes,Yes,2,1,0.5000,1509.6,34006,30000,22,1545.7,0,0,0.0000,6,3,0.5000,5,0,0.0000
mistralai/mistral-nemo,10,No,No,45,2,0.0444,1435.0,115257,448,270,426.9,0,0,0.0000,98,26,0.2653,33,14,0.4242
mistralai/mistral-nemo,10,No,Yes,45,2,0.0444,1431.2,344059,704,325,1058.6,0,0,0.0000,104,36,0.3462,57,19,0.3333
mistralai/mistral-nemo,10,Yes,No,45,2,0.0444,1423.0,238272,0,296,805.0,0,0,0.0000,111,38,0.3423,45,13,0.2889
mistralai/mistral-nemo,10,Yes,Yes,44,0,0.0000,1413.2,301157,1024,228,1320.9,0,0,0.0000,103,15,0.1456,9,5,0.5556
openai/gpt-4o,0,No,No,16,6,0.3750,1460.0,27918,0,143,195.2,0,0,0.0000,9,1,0.1111,0,0,0.0000
openai/gpt-4o,10,No,No,91,15,0.1648,1470.3,653638,37248,1084,603.0,14,4,0.7143,182,57,0.3132,244,118,0.4836
openai/gpt-4o,10,No,Yes,91,18,0.1978,1476.1,1201563,339328,994,1208.8,54,18,0.6667,95,30,0.3158,240,116,0.4833
openai/gpt-4o,10,Yes,No,95,39,0.4105,1571.3,1327707,241792,1443,920.1,23,8,0.6522,107,55,0.5140,354,153,0.4322
openai/gpt-4o,10,Yes,Yes,91,19,0.2088,1503.1,2346177,1203072,1467,1599.3,74,20,0.7297,60,21,0.3500,390,175,0.4487
openai/gpt-4o,2,No,No,1,0,0.0000,1494.6,8243,0,16,515.2,0,0,0.0000,1,0,0.0000,0,0,0.0000
openai/gpt-4o,3,No,No,4,0,0.0000,1480.2,14391,0,35,411.2,0,0,0.0000,10,2,0.2000,0,0,0.0000
x-ai/grok-4.3,10,No,No,91,49,0.5385,1589.8,2425528,419072,1666,1455.9,52,9,0.8269,41,27,0.6585,423,183,0.4326
x-ai/grok-4.3,10,No,Yes,93,28,0.3011,1524.9,2409808,358592,1226,1965.6,52,28,0.4615,30,14,0.4667,317,144,0.4543
x-ai/grok-4.3,10,Yes,No,93,61,0.6559,1624.2,1996474,266496,1356,1472.3,10,8,0.2000,28,18,0.6429,300,128,0.4267
x-ai/grok-4.3,10,Yes,Yes,91,44,0.4835,1570.1,2674482,386816,1281,2087.8,52,23,0.5577,30,16,0.5333,321,123,0.3832
x-ai/grok-4.3,20,No,Yes,2,1,0.5000,1510.9,33393,2432,19,1757.5,0,0,0.0000,0,0,0.0000,4,2,0.5000
x-ai/grok-4.3,2,No,No,1,1,1.0000,1515.9,20098,2944,19,1057.8,0,0,0.0000,0,0,0.0000,0,0,0.0000
x-ai/grok-4.3,5,Yes,Yes,2,2,1.0000,1530.8,42251,3520,20,2112.6,0,0,0.0000,0,0,0.0000,0,0,0.0000
