Game #,Seed,Gemini Turn Order,Gemini Rules,Gemini Strategy,Gemini Win,Gemini bluffs,Gemini bluffs_caught,Gemini challenges,Gemini challenges_correct,Gemini card_guesses_total,Gemini card_guesses_correct,ChatGPT Turn Order,ChatGPT Rules,ChatGPT Strategy,ChatGPT Win,ChatGPT bluffs,ChatGPT bluffs_caught,ChatGPT challenges,ChatGPT challenges_correct,ChatGPT card_guesses_total,ChatGPT card_guesses_correct,Grok Turn Order,Grok Rules,Grok Strategy,Grok Win,Grok bluffs,Grok bluffs_caught,Grok challenges,Grok challenges_correct,Grok card_guesses_total,Grok card_guesses_correct,,,Claude Turn Order,Claude Rules,Claude Strategy,Claude Win,Claude bluffs,Claude bluffs_caught,Claude challenges,Claude challenges_correct,Claude card_guesses_total,Claude card_guesses_correct,Mistral Turn Order,Mistral Rules,Mistral Strategy,Mistral Win,Mistral bluffs,Mistral bluffs_caught,Mistral challenges,Mistral challenges_correct,Mistral card_guesses_total,Mistral card_guesses_correct
1,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
2,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
3,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
4,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
5,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
6,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
7,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
8,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
9,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
10,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
11,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
12,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
13,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
14,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
15,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
16,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
17,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,
